date,hour,temprature,precip_prob,wind_speed
11/13/2018,20,8.5,0,9.97
11/14/2018,20,2.8,0,8.95
11/15/2018,20,0.2,0.54,13.57
11/16/2018,20,6.1,0,9.62
11/17/2018,20,7.8,0,6.43
11/18/2018,20,6.1,0,1.59
11/19/2018,20,10,0,2.3
11/20/2018,20,7.8,0,8.57
11/21/2018,20,6.1,0,12.56
11/22/2018,20,-3.3,0,9.04
11/23/2018,20,-0.6,0,2.74
11/24/2018,20,7.2,0.9,7.76
11/25/2018,20,12.2,0,1.24
11/26/2018,20,9.428571429,1,10.74
11/27/2018,20,5.6,0,10.1
11/28/2018,20,5,0,9.32
11/29/2018,20,6.1,0,8.38
11/30/2018,20,5,0,1.2
12/1/2018,20,7.2,0.9,5.26
12/2/2018,20,11.7,0.6,0.02
12/3/2018,20,11.1,0,8.3
12/4/2018,20,3.9,0,5.54
12/5/2018,20,2.2,0,4.43
12/6/2018,20,3.3,0,7.57
12/7/2018,20,2.2,0,7.71
12/8/2018,20,1.7,0,1.7
12/9/2018,20,1.7,0,3.68
12/10/2018,20,3.3,0,2.73
12/11/2018,20,3.9,0,5.36
12/12/2018,20,3.9,0,0.89
12/13/2018,20,2.35,0,6.03
12/14/2018,20,10,0,2.15
12/15/2018,20,10.6,0,8.48
12/16/2018,20,4.32,1,9.99
12/17/2018,20,6.7,0,10.64
12/18/2018,20,1.1,0,8.96
12/19/2018,20,5.6,0,1.56
12/20/2018,20,6.95,1,5.63
12/21/2018,20,14.23333333,0,9.29
12/22/2018,20,6.1,0,11.46
12/23/2018,20,6.1,0,1.76
12/24/2018,20,5.6,0,9.85
12/25/2018,20,3.3,0,6.38
12/26/2018,20,5.6,0,5.17
12/27/2018,20,5,0,4.35
12/28/2018,20,15,0,5.6
12/29/2018,20,8.3,0,6.87
12/30/2018,20,3.3,0,1.7
12/31/2018,20,6.1,1,8.59
