id,address,longitude,latitude,capacity,has_kiosk,station_type
486,Broadway & W 29 St,-73.98855723,40.7462009,41,True,classic
487,E 20 St & FDR Drive,-73.97573881,40.73314259,35,True,classic
489,10 Ave & W 28 St,-74.00176802,40.75066386,49,True,classic
490,8 Ave & W 33 St,-73.993934,40.751551,66,True,classic
491,E 24 St & Park Ave S,-73.98602213,40.74096374,52,True,classic
492,W 33 St & 7 Ave,-73.99093085,40.75019995,68,True,classic
493,W 45 St & 6 Ave,-73.98291153,40.7568001,34,True,classic
494,W 26 St & 8 Ave,-73.99723551,40.74734825,66,True,classic
495,W 47 St & 10 Ave,-73.99301222,40.76269882,39,True,classic
496,E 16 St & 5 Ave,-73.99238967,40.73726186,47,True,classic
497,E 17 St & Broadway,-73.99009296,40.73704984,66,True,classic
499,Broadway & W 60 St,-73.98191841,40.76915505,36,True,classic
500,Broadway & W 51 St,-73.98336183,40.76228826,52,True,classic
501,FDR Drive & E 35 St,-73.97121214,40.744219,79,True,classic
502,Henry St & Grand St,-73.981095,40.714211,36,True,classic
503,E 20 St & Park Ave,-73.98751968,40.73827428,31,True,classic
504,1 Ave & E 16 St,-73.98165557,40.73221853,53,True,classic
505,6 Ave & W 33 St,-73.98848395,40.74901271,52,True,classic
507,E 25 St & 2 Ave,-73.97973776,40.73912601,45,True,classic
508,W 46 St & 11 Ave,-73.99667444,40.76341379,25,True,classic
509,9 Ave & W 22 St,-74.00197139,40.7454973,61,True,classic
513,W 56 St & 10 Ave,-73.988639,40.768254,29,True,classic
514,12 Ave & W 40 St,-74.00277668,40.76087502,52,True,classic
515,W 43 St & 10 Ave,-73.99461843,40.76009437,35,True,classic
516,E 47 St & 1 Ave,-73.96784384,40.75206862,31,True,classic
517,Pershing Square South,-73.97791,40.751581,69,True,classic
518,E 39 St & 2 Ave,-73.9734419,40.74780373,39,True,classic
519,Pershing Square North,-73.977706,40.751873,69,True,classic
520,W 52 St & 5 Ave,-73.97648516,40.75992262,41,True,classic
522,E 51 St & Lexington Ave,-73.97207836,40.75714758,51,True,classic
523,W 38 St & 8 Ave,-73.99138152,40.75466591,51,True,classic
525,W 34 St & 11 Ave,-74.0021163,40.75594159,55,True,classic
526,E 33 St & 5 Ave,-73.98490707,40.74765947,40,True,classic
528,2 Ave & E 31 St,-73.97706058,40.74290902,39,True,classic
529,W 42 St & 8 Ave,-73.99098507,40.7575699,41,True,classic
530,11 Ave & W 59 St,-73.99046033620834,40.77149671054441,24,True,classic
531,Forsyth St & Broome St,-73.99266288,40.71893904,39,True,classic
532,S 5 Pl & S 5 St,-73.960876,40.710451,43,True,classic
533,Broadway & W 38 St,-73.98721619,40.75299641,46,True,classic
534,Water - Whitehall Plaza,-74.0127234,40.70255065,31,True,classic
536,1 Ave & E 30 St,-73.97536082,40.74144387,28,True,classic
539,Metropolitan Ave & Bedford Ave,-73.96024116,40.71534825,31,True,classic
540,Lexington Ave & E 29 St,-73.98215353488922,40.74311555376486,0,True,classic
545,E 23 St & 1 Ave,-73.97809472,40.736502,27,True,classic
546,E 30 St & Park Ave S,-73.98303529,40.74444921,45,True,classic
2000,Front St & Washington St,-73.98940236,40.70255088,30,True,classic
2002,Wythe Ave & Metropolitan Ave,-73.963198,40.716887,27,True,classic
2003,1 Ave & E 18 St,-73.98054420948029,40.733812191966315,54,True,classic
2005,Railroad Ave & Kay Ave,-73.97100056,40.70531194,12,True,classic
2006,Central Park S & 6 Ave,-73.97634151,40.76590936,49,True,classic
2008,Little West St & 1 Pl,-74.01677685,40.70569254,24,True,classic
2009,Catherine St & Monroe St,-73.99682619,40.71117444,35,True,classic
2010,Grand St & Greene St,-74.00238141417502,40.72170005235607,39,True,classic
2012,E 27 St & 1 Ave,-73.976806,40.739445,35,True,classic
2017,E 43 St & 2 Ave,-73.97121414,40.75022392,39,True,classic
2021,W 45 St & 8 Ave,-73.98859651,40.75929124,43,True,classic
2022,E 60 St & York Ave,-73.959223,40.759107,33,True,classic
3016,Kent Ave & N 7 St,-73.96165072917938,40.72036775298455,54,True,classic
3041,Kingston Ave & Herkimer St,-73.94142771,40.67890679,24,True,classic
3042,Fulton St & Utica Ave,-73.9298911,40.6794268,19,True,classic
3043,Lewis Ave & Decatur St,-73.934903,40.6814598,19,True,classic
3044,Albany Ave & Fulton St,-73.938475,40.6800105,27,True,classic
3046,Marcus Garvey Blvd & Macon St,-73.938037,40.682601,19,True,classic
3047,Halsey St & Tompkins Ave,-73.944118,40.6823687,21,True,classic
3048,Putnam Ave & Nostrand Ave,-73.94977,40.68402,19,True,classic
3049,Cambridge Pl & Gates Ave,-73.96304,40.68488,18,True,classic
3050,Putnam Ave & Throop Ave,-73.94111,40.6851532,21,True,classic
3052,Lewis Ave & Madison St,-73.935775,40.686312,23,True,classic
3053,Marcy Ave & Lafayette Ave,-73.947915,40.6900815,23,True,classic
3054,Greene Ave & Throop Ave,-73.942061,40.6894932,19,True,classic
3055,Greene Ave & Nostrand Ave,-73.950916,40.6883337,23,True,classic
3056,Kosciuszko St & Nostrand Ave,-73.95133465,40.69072549,23,True,classic
3057,Kosciuszko St & Tompkins Ave,-73.9452416,40.69128258,18,True,classic
3058,Lewis Ave & Kosciuszko St,-73.93705428,40.69237074,24,True,classic
3059,Pulaski St & Marcus Garvey Blvd,-73.939877,40.6933982,19,True,classic
3060,Willoughby Ave & Tompkins Ave,-73.94626915,40.69425403,19,True,classic
3061,Throop Ave & Myrtle Ave,-73.94371094,40.69622937,21,True,classic
3062,Myrtle Ave & Marcy Ave,-73.94954908,40.69539817,23,True,classic
3063,Nostrand Ave & Myrtle Ave,-73.95238108,40.69527008,20,True,classic
3064,Myrtle Ave & Lewis Ave,-73.93756926,40.69681963,23,True,classic
3065,Union Ave & Wallabout St,-73.95032283,40.70029511,31,True,classic
3066,Tompkins Ave & Hopkins St,-73.94708417,40.69957608,19,True,classic
3067,Broadway & Whipple St,-73.9437303,40.7016657,27,True,classic
3068,Humboldt St & Varet St,-73.940636,40.7031724,42,True,classic
3069,Lorimer St & Broadway,-73.94818595,40.70411791,29,True,classic
3070,McKibbin St & Manhattan Ave,-73.94407279,40.70510918,23,True,classic
3071,Boerum St & Broadway,-73.94976519,40.70538077,19,True,classic
3072,Leonard St & Boerum St,-73.94644578,40.70583339,24,True,classic
3074,Montrose Ave & Bushwick Ave,-73.94016171,40.70767788,42,True,classic
3075,Division Ave & Marcy Ave,-73.95796783,40.70708701,33,True,classic
3076,Scholes St & Manhattan Ave,-73.9448625,40.70870368,36,True,classic
3077,Stagg St & Union Ave,-73.95095259,40.70877084,33,True,classic
3078,Broadway & Roebling St,-73.96063148975372,40.70924826276157,26,True,classic
3080,S 4 St & Rodney St,-73.95608,40.70934,21,True,classic
3081,Graham Ave & Grand St,-73.944024,40.711863,29,True,classic
3082,Hope St & Union Ave,-73.95141312,40.71167351,25,True,classic
3083,Bushwick Ave & Powers St,-73.94100005,40.71247661,32,True,classic
3085,Roebling St & N 4 St,-73.95739,40.71469,25,True,classic
3086,Graham Ave & Conselyea St,-73.944507,40.715143,30,True,classic
3087,Metropolitan Ave & Meeker Ave,-73.95234386,40.71413311,30,True,classic
3088,Union Ave & Jackson St,-73.952029,40.7160751,19,True,classic
3092,Berry St & N 8 St,-73.95852515,40.7190095,27,True,classic
3093,N 6 St & Bedford Ave,-73.95850939,40.71745169,28,True,classic
3094,Graham Ave & Withers St,-73.94485918,40.7169811,18,True,classic
3095,Graham Ave & Herbert St,-73.94500379,40.71929301,26,True,classic
3096,Union Ave & N 12 St,-73.95242,40.71924,39,True,classic
3100,Nassau Ave & Newell St,-73.94752621650696,40.724812564400175,51,True,classic
3101,N 12 St & Bedford Ave,-73.95484712,40.72079821,27,True,classic
3102,Driggs Ave & Lorimer St,-73.9504154,40.72179134,27,True,classic
3105,N 15 St & Wythe Ave,-73.955736,40.724055,24,True,classic
3106,Driggs Ave & N Henry St,-73.94308,40.72325,22,True,classic
3107,Bedford Ave & Nassau Ave,-73.95212324,40.72311651,39,True,classic
3108,Nassau Ave & Russell St,-73.94434,40.72557,51,True,classic
3109,Banker St & Meserole Ave,-73.95621,40.72606,31,True,classic
3110,Meserole Ave & Manhattan Ave,-73.95299117,40.72708584,28,True,classic
3112,Milton St & Franklin St,-73.95779,40.72906,33,True,classic
3113,Greenpoint Ave & Manhattan Ave,-73.95394,40.73026,27,True,classic
